Incidence per 1000 by age and sex			
	SouthAfricaIC2		
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1977			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1978			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1979			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1980			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1981			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1982			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1983			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.01	0.00
 30-34 	0.00	0.01	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1984			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.01	0.01	0.01
 25-29 	0.01	0.01	0.01
 30-34 	0.01	0.01	0.01
 35-39 	0.01	0.01	0.01
 40-44 	0.01	0.01	0.01
 45-49 	0.00	0.01	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1985			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.01	0.01	0.01
 20-24 	0.02	0.02	0.02
 25-29 	0.03	0.03	0.02
 30-34 	0.02	0.03	0.02
 35-39 	0.02	0.03	0.02
 40-44 	0.02	0.02	0.01
 45-49 	0.01	0.01	0.01
 50-54 	0.01	0.01	0.01
 55-59 	0.01	0.01	0.01
 60-64 	0.01	0.01	0.00
 65-69 	0.01	0.01	0.00
 70-74 	0.01	0.01	0.00
 75-79 	0.00	0.01	0.00
 80+ 	0.00	0.00	0.00
Total	0.01	0.01	0.01
1986			
 0-4	0.01	0.01	0.01
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.02	0.02	0.03
 20-24 	0.06	0.06	0.06
 25-29 	0.07	0.07	0.07
 30-34 	0.06	0.07	0.06
 35-39 	0.05	0.06	0.04
 40-44 	0.04	0.05	0.04
 45-49 	0.03	0.04	0.03
 50-54 	0.02	0.03	0.02
 55-59 	0.02	0.02	0.02
 60-64 	0.01	0.02	0.01
 65-69 	0.01	0.02	0.01
 70-74 	0.01	0.02	0.01
 75-79 	0.01	0.01	0.00
 80+ 	0.00	0.00	0.00
Total	0.03	0.03	0.03
1987			
 0-4	0.02	0.02	0.02
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.06	0.04	0.07
 20-24 	0.15	0.14	0.17
 25-29 	0.17	0.18	0.17
 30-34 	0.16	0.17	0.14
 35-39 	0.13	0.15	0.12
 40-44 	0.11	0.12	0.09
 45-49 	0.08	0.09	0.08
 50-54 	0.06	0.06	0.06
 55-59 	0.05	0.05	0.04
 60-64 	0.04	0.05	0.03
 65-69 	0.03	0.05	0.02
 70-74 	0.04	0.05	0.03
 75-79 	0.01	0.03	0.01
 80+ 	0.00	0.00	0.00
Total	0.07	0.07	0.07
1988			
 0-4	0.05	0.05	0.05
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.14	0.10	0.18
 20-24 	0.37	0.32	0.41
 25-29 	0.42	0.41	0.43
 30-34 	0.38	0.41	0.36
 35-39 	0.32	0.35	0.29
 40-44 	0.26	0.28	0.23
 45-49 	0.20	0.20	0.19
 50-54 	0.15	0.15	0.14
 55-59 	0.11	0.12	0.10
 60-64 	0.09	0.11	0.07
 65-69 	0.08	0.11	0.06
 70-74 	0.09	0.11	0.07
 75-79 	0.04	0.07	0.02
 80+ 	0.00	0.00	0.00
Total	0.17	0.17	0.17
1989			
 0-4	0.11	0.11	0.11
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.32	0.22	0.43
 20-24 	0.85	0.73	0.97
 25-29 	0.96	0.92	1.00
 30-34 	0.88	0.92	0.85
 35-39 	0.74	0.79	0.69
 40-44 	0.59	0.62	0.55
 45-49 	0.45	0.46	0.44
 50-54 	0.34	0.33	0.34
 55-59 	0.25	0.26	0.24
 60-64 	0.20	0.24	0.17
 65-69 	0.19	0.24	0.15
 70-74 	0.20	0.24	0.17
 75-79 	0.08	0.16	0.04
 80+ 	0.00	0.00	0.00
Total	0.39	0.37	0.40
1990			
 0-4	0.25	0.26	0.25
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.70	0.46	0.93
 20-24 	1.83	1.52	2.13
 25-29 	2.06	1.93	2.18
 30-34 	1.89	1.92	1.85
 35-39 	1.58	1.66	1.50
 40-44 	1.25	1.30	1.20
 45-49 	0.96	0.96	0.96
 50-54 	0.72	0.70	0.74
 55-59 	0.54	0.55	0.53
 60-64 	0.43	0.50	0.37
 65-69 	0.40	0.51	0.32
 70-74 	0.43	0.50	0.38
 75-79 	0.18	0.33	0.09
 80+ 	0.00	0.00	0.00
Total	0.84	0.79	0.88
1991			
 0-4	0.54	0.54	0.53
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	1.40	0.91	1.89
 20-24 	3.65	2.96	4.32
 25-29 	4.10	3.76	4.43
 30-34 	3.75	3.73	3.77
 35-39 	3.13	3.22	3.04
 40-44 	2.49	2.54	2.44
 45-49 	1.91	1.86	1.95
 50-54 	1.43	1.36	1.49
 55-59 	1.06	1.06	1.06
 60-64 	0.85	0.97	0.75
 65-69 	0.80	0.99	0.64
 70-74 	0.84	0.96	0.77
 75-79 	0.35	0.65	0.19
 80+ 	0.00	0.00	0.00
Total	1.68	1.55	1.81
1992			
 0-4	1.05	1.06	1.05
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	2.56	1.62	3.49
 20-24 	6.67	5.30	8.02
 25-29 	7.49	6.75	8.23
 30-34 	6.84	6.69	6.98
 35-39 	5.70	5.78	5.63
 40-44 	4.54	4.54	4.53
 45-49 	3.48	3.34	3.61
 50-54 	2.60	2.43	2.77
 55-59 	1.94	1.90	1.97
 60-64 	1.55	1.74	1.38
 65-69 	1.45	1.78	1.19
 70-74 	1.54	1.73	1.42
 75-79 	0.63	1.17	0.34
 80+ 	0.00	0.00	0.00
Total	3.10	2.81	3.38
1993			
 0-4	1.90	1.91	1.89
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	4.26	2.66	5.87
 20-24 	11.12	8.69	13.52
 25-29 	12.48	11.08	13.87
 30-34 	11.37	10.98	11.75
 35-39 	9.47	9.48	9.46
 40-44 	7.53	7.45	7.61
 45-49 	5.77	5.47	6.07
 50-54 	4.32	3.98	4.64
 55-59 	3.21	3.12	3.30
 60-64 	2.57	2.85	2.31
 65-69 	2.40	2.91	2.00
 70-74 	2.56	2.82	2.38
 75-79 	1.04	1.91	0.58
 80+ 	0.00	0.00	0.00
Total	5.19	4.64	5.73
1994			
 0-4	3.12	3.13	3.10
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	6.42	3.93	8.92
 20-24 	16.75	12.89	20.64
 25-29 	18.82	16.45	21.18
 30-34 	17.12	16.31	17.93
 35-39 	14.24	14.07	14.42
 40-44 	11.31	11.04	11.58
 45-49 	8.68	8.10	9.23
 50-54 	6.49	5.88	7.06
 55-59 	4.83	4.61	5.02
 60-64 	3.84	4.22	3.51
 65-69 	3.60	4.31	3.03
 70-74 	3.84	4.18	3.61
 75-79 	1.55	2.81	0.87
 80+ 	0.00	0.00	0.00
Total	7.86	6.94	8.75
1995			
 0-4	4.67	4.70	4.65
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	8.73	5.27	12.23
 20-24 	22.84	17.38	28.44
 25-29 	25.68	22.20	29.21
 30-34 	23.35	22.00	24.70
 35-39 	19.40	18.96	19.82
 40-44 	15.39	14.85	15.90
 45-49 	11.83	10.90	12.68
 50-54 	8.84	7.90	9.68
 55-59 	6.56	6.20	6.88
 60-64 	5.21	5.67	4.81
 65-69 	4.88	5.78	4.15
 70-74 	5.22	5.62	4.96
 75-79 	2.09	3.77	1.18
 80+ 	0.00	0.00	0.00
Total	10.74	9.41	12.03
1996			
 0-4	6.43	6.47	6.40
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	10.76	6.41	15.19
 20-24 	28.20	21.21	35.50
 25-29 	31.70	27.12	36.48
 30-34 	28.83	26.88	30.82
 35-39 	23.93	23.15	24.68
 40-44 	18.98	18.11	19.79
 45-49 	14.60	13.29	15.78
 50-54 	10.90	9.62	12.02
 55-59 	8.09	7.55	8.55
 60-64 	6.40	6.90	5.98
 65-69 	5.99	7.04	5.15
 70-74 	6.43	6.84	6.16
 75-79 	2.56	4.58	1.45
 80+ 	0.00	0.00	0.00
Total	13.27	11.56	14.94
1997			
 0-4	8.22	8.27	8.18
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	12.15	7.18	17.22
 20-24 	31.83	23.80	40.38
 25-29 	35.79	30.46	41.52
 30-34 	32.56	30.19	35.05
 35-39 	27.02	25.98	28.03
 40-44 	21.43	20.30	22.46
 45-49 	16.51	14.91	17.91
 50-54 	12.32	10.78	13.64
 55-59 	9.14	8.46	9.70
 60-64 	7.20	7.73	6.78
 65-69 	6.74	7.89	5.84
 70-74 	7.26	7.66	6.99
 75-79 	2.89	5.13	1.65
 80+ 	0.00	0.00	0.00
Total	15.03	13.07	16.93
1998			
 0-4	9.92	9.97	9.86
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	12.77	7.51	18.17
 20-24 	33.41	24.87	42.65
 25-29 	37.57	31.85	43.90
 30-34 	34.21	31.58	37.05
 35-39 	28.40	27.16	29.60
 40-44 	22.53	21.22	23.71
 45-49 	17.36	15.58	18.91
 50-54 	12.96	11.26	14.40
 55-59 	9.61	8.84	10.24
 60-64 	7.56	8.08	7.15
 65-69 	7.06	8.24	6.16
 70-74 	7.63	8.01	7.38
 75-79 	3.04	5.36	1.74
 80+ 	0.00	0.00	0.00
Total	15.86	13.80	17.87
1999			
 0-4	11.44	11.51	11.38
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	12.75	7.45	18.18
 20-24 	33.23	24.65	42.62
 25-29 	37.37	31.59	43.91
 30-34 	34.05	31.32	37.05
 35-39 	28.28	26.95	29.60
 40-44 	22.44	21.04	23.70
 45-49 	17.31	15.44	18.90
 50-54 	12.94	11.18	14.40
 55-59 	9.58	8.76	10.23
 60-64 	7.53	8.01	7.15
 65-69 	7.02	8.18	6.16
 70-74 	7.61	7.94	7.38
 75-79 	3.02	5.32	1.74
 80+ 	0.00	0.00	0.00
Total	15.91	13.87	17.92
2000			
 0-4	12.73	12.80	12.66
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	12.27	7.19	17.48
 20-24 	31.89	23.69	40.90
 25-29 	35.86	30.37	42.17
 30-34 	32.70	30.12	35.58
 35-39 	27.17	25.92	28.43
 40-44 	21.56	20.24	22.76
 45-49 	16.63	14.85	18.15
 50-54 	12.46	10.76	13.85
 55-59 	9.21	8.43	9.83
 60-64 	7.24	7.71	6.88
 65-69 	6.75	7.87	5.92
 70-74 	7.32	7.64	7.09
 75-79 	2.90	5.11	1.66
 80+ 	0.00	0.00	0.00
Total	15.46	13.54	17.33
2001			
 0-4	13.77	13.85	13.69
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	11.57	6.79	16.48
 20-24 	29.99	22.32	38.43
 25-29 	33.73	28.62	39.64
 30-34 	30.76	28.37	33.44
 35-39 	25.58	24.43	26.75
 40-44 	20.29	19.07	21.40
 45-49 	15.66	13.99	17.07
 50-54 	11.74	10.15	13.04
 55-59 	8.68	7.95	9.25
 60-64 	6.82	7.28	6.48
 65-69 	6.35	7.43	5.58
 70-74 	6.89	7.21	6.68
 75-79 	2.72	4.82	1.55
 80+ 	0.00	0.00	0.00
Total	14.75	12.99	16.48
2002			
 0-4	14.52	14.61	14.44
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	10.84	6.37	15.41
 20-24 	28.00	20.87	35.82
 25-29 	31.47	26.74	36.95
 30-34 	28.70	26.52	31.18
 35-39 	23.88	22.85	24.97
 40-44 	18.94	17.83	19.97
 45-49 	14.62	13.08	15.93
 50-54 	10.98	9.50	12.18
 55-59 	8.11	7.44	8.63
 60-64 	6.37	6.81	6.05
 65-69 	5.93	6.95	5.22
 70-74 	6.44	6.74	6.24
 75-79 	2.53	4.50	1.43
 80+ 	0.00	0.00	0.00
Total	13.98	12.36	15.56
2003			
 0-4	14.77	14.85	14.68
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	10.19	6.00	14.48
 20-24 	26.26	19.60	33.56
 25-29 	29.50	25.09	34.61
 30-34 	26.91	24.89	29.22
 35-39 	22.40	21.45	23.40
 40-44 	17.76	16.75	18.71
 45-49 	13.72	12.28	14.93
 50-54 	10.30	8.93	11.42
 55-59 	7.61	6.99	8.10
 60-64 	5.98	6.40	5.67
 65-69 	5.56	6.53	4.90
 70-74 	6.04	6.33	5.85
 75-79 	2.37	4.22	1.34
 80+ 	0.00	0.00	0.00
Total	13.27	11.78	14.73
2004			
 0-4	14.63	14.72	14.55
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	9.69	5.71	13.75
 20-24 	24.89	18.59	31.76
 25-29 	27.94	23.78	32.75
 30-34 	25.49	23.59	27.67
 35-39 	21.22	20.33	22.16
 40-44 	16.83	15.88	17.72
 45-49 	12.99	11.65	14.14
 50-54 	9.76	8.46	10.81
 55-59 	7.22	6.63	7.67
 60-64 	5.67	6.07	5.37
 65-69 	5.27	6.20	4.64
 70-74 	5.72	6.01	5.54
 75-79 	2.24	4.00	1.27
 80+ 	0.00	0.00	0.00
Total	12.68	11.29	14.04
2005			
 0-4	14.31	14.40	14.23
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	9.33	5.50	13.22
 20-24 	23.90	17.86	30.45
 25-29 	26.80	22.82	31.39
 30-34 	24.44	22.64	26.53
 35-39 	20.35	19.51	21.25
 40-44 	16.14	15.25	16.99
 45-49 	12.46	11.18	13.55
 50-54 	9.36	8.12	10.36
 55-59 	6.93	6.37	7.36
 60-64 	5.44	5.83	5.15
 65-69 	5.05	5.95	4.45
 70-74 	5.49	5.77	5.31
 75-79 	2.14	3.84	1.22
 80+ 	0.00	0.00	0.00
Total	12.23	10.91	13.52
2006			
 0-4	13.92	14.00	13.84
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	9.10	5.37	12.89
 20-24 	23.28	17.40	29.63
 25-29 	26.08	22.21	30.52
 30-34 	23.78	22.03	25.81
 35-39 	19.79	18.99	20.66
 40-44 	15.70	14.85	16.54
 45-49 	12.11	10.88	13.17
 50-54 	9.11	7.90	10.08
 55-59 	6.75	6.20	7.17
 60-64 	5.29	5.67	5.01
 65-69 	4.91	5.79	4.33
 70-74 	5.33	5.61	5.17
 75-79 	2.08	3.74	1.19
 80+ 	0.00	0.00	0.00
Total	11.93	10.66	13.18
2007			
 0-4	12.77	12.85	12.70
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	8.95	5.28	12.68
 20-24 	22.92	17.13	29.16
 25-29 	25.65	21.84	30.01
 30-34 	23.38	21.67	25.39
 35-39 	19.45	18.67	20.32
 40-44 	15.44	14.61	16.27
 45-49 	11.91	10.70	12.95
 50-54 	8.96	7.77	9.91
 55-59 	6.64	6.10	7.05
 60-64 	5.20	5.58	4.93
 65-69 	4.83	5.70	4.26
 70-74 	5.24	5.52	5.08
 75-79 	2.05	3.68	1.18
 80+ 	0.00	0.00	0.00
Total	11.66	10.41	12.87
2008			
 0-4	12.45	12.52	12.37
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	8.91	5.25	12.62
 20-24 	22.83	17.06	29.04
 25-29 	25.52	21.72	29.87
 30-34 	23.27	21.56	25.28
 35-39 	19.36	18.58	20.23
 40-44 	15.36	14.53	16.20
 45-49 	11.84	10.64	12.88
 50-54 	8.91	7.73	9.86
 55-59 	6.61	6.07	7.02
 60-64 	5.17	5.55	4.90
 65-69 	4.80	5.67	4.24
 70-74 	5.21	5.49	5.05
 75-79 	2.03	3.66	1.17
 80+ 	0.00	0.00	0.00
Total	11.59	10.36	12.79
2009			
 0-4	8.65	8.70	8.60
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	8.94	5.26	12.68
 20-24 	22.96	17.14	29.19
 25-29 	25.64	21.81	30.00
 30-34 	23.37	21.64	25.40
 35-39 	19.44	18.66	20.33
 40-44 	15.42	14.59	16.28
 45-49 	11.88	10.68	12.94
 50-54 	8.95	7.75	9.90
 55-59 	6.64	6.09	7.05
 60-64 	5.19	5.57	4.92
 65-69 	4.81	5.69	4.26
 70-74 	5.23	5.51	5.07
 75-79 	2.03	3.67	1.18
 80+ 	0.00	0.00	0.00
Total	11.22	9.98	12.42
2010			
 0-4	6.47	6.50	6.44
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	8.92	5.25	12.66
 20-24 	22.95	17.11	29.18
 25-29 	25.61	21.76	29.97
 30-34 	23.34	21.59	25.39
 35-39 	19.41	18.61	20.33
 40-44 	15.39	14.55	16.26
 45-49 	11.85	10.66	12.93
 50-54 	8.92	7.73	9.88
 55-59 	6.62	6.08	7.03
 60-64 	5.18	5.56	4.92
 65-69 	4.81	5.68	4.26
 70-74 	5.23	5.50	5.07
 75-79 	2.01	3.66	1.17
 80+ 	0.00	0.00	0.00
Total	10.97	9.73	12.17
2011			
 0-4	5.67	5.69	5.64
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	8.66	5.10	12.30
 20-24 	22.28	16.62	28.32
 25-29 	24.85	21.12	29.06
 30-34 	22.65	20.96	24.63
 35-39 	18.84	18.07	19.73
 40-44 	14.93	14.12	15.78
 45-49 	11.49	10.36	12.56
 50-54 	8.65	7.51	9.58
 55-59 	6.43	5.90	6.82
 60-64 	5.03	5.40	4.78
 65-69 	4.67	5.51	4.13
 70-74 	5.08	5.34	4.93
 75-79 	1.94	3.55	1.14
 80+ 	0.00	0.00	0.00
Total	10.58	9.40	11.74
2012			
 0-4	5.02	5.04	5.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	8.06	4.75	11.44
 20-24 	20.72	15.46	26.33
 25-29 	23.12	19.65	27.02
 30-34 	21.07	19.49	22.91
 35-39 	17.53	16.81	18.37
 40-44 	13.88	13.15	14.69
 45-49 	10.69	9.64	11.69
 50-54 	8.04	6.99	8.91
 55-59 	5.98	5.49	6.35
 60-64 	4.69	5.03	4.45
 65-69 	4.34	5.13	3.85
 70-74 	4.73	4.98	4.59
 75-79 	1.80	3.30	1.06
 80+ 	0.00	0.00	0.00
Total	9.82	8.74	10.89
2013			
 0-4	3.61	3.63	3.60
 5-9	0.00	0.00	0.00
