Workshop_1_Demo	Total	Male	Female																																																																																																																																																																																																																																																							
 35-39 	0.042824	0.036046	0.006778																																																																																																																																																																																																																																																							
 40-44 	0.029173	0.024547	0.004626																																																																																																																																																																																																																																																							
 45-49 	0.019447	0.016244	0.003203																																																																																																																																																																																																																																																							
 50-54 	0.011608	0.009549	0.002059																																																																																																																																																																																																																																																							
 55-59 	0.006793	0.005532	0.001261																																																																																																																																																																																																																																																							
 60-64 	0.004351	0.003643	0.000708																																																																																																																																																																																																																																																							
 65-69 	0.002801	0.002389	0.000412																																																																																																																																																																																																																																																							
 70-74 	0.001753	0.001407	0.000345																																																																																																																																																																																																																																																							
 75-79 	0.000639	0.000543	0.000096																																																																																																																																																																																																																																																							
 80+ 	0.000052	0.000052	0.000000																																																																																																																																																																																																																																																							
Total	0.313323	0.253457	0.059866																																																																																																																																																																																																																																																							
1979																																																																																																																																																																																																																																																										
 0-4	0.002704	0.001365	0.001338																																																																																																																																																																																																																																																							
 5-9	0.000608	0.000307	0.000301																																																																																																																																																																																																																																																							
 10-14 	0.000060	0.000030	0.000030																																																																																																																																																																																																																																																							
 15-19 	0.017238	0.011559	0.005679																																																																																																																																																																																																																																																							
 20-24 	0.081092	0.061004	0.020088																																																																																																																																																																																																																																																							
 25-29 	0.109038	0.086811	0.022227																																																																																																																																																																																																																																																							
 30-34 	0.091654	0.075535	0.016118																																																																																																																																																																																																																																																							
 35-39 	0.070897	0.059294	0.011602																																																																																																																																																																																																																																																							
 40-44 	0.048520	0.040587	0.007933																																																																																																																																																																																																																																																							
 45-49 	0.032582	0.027064	0.005518																																																																																																																																																																																																																																																							
 50-54 	0.019618	0.016077	0.003541																																																																																																																																																																																																																																																							
 55-59 	0.011322	0.009156	0.002166																																																																																																																																																																																																																																																							
 60-64 	0.007153	0.005923	0.001230																																																																																																																																																																																																																																																							
 65-69 	0.004540	0.003847	0.000693																																																																																																																																																																																																																																																							
 70-74 	0.002865	0.002290	0.000574																																																																																																																																																																																																																																																							
 75-79 	0.001105	0.000917	0.000188																																																																																																																																																																																																																																																							
 80+ 	0.000121	0.000117	0.000003																																																																																																																																																																																																																																																							
Total	0.501116	0.401884	0.099232																																																																																																																																																																																																																																																							
1980																																																																																																																																																																																																																																																										
 0-4	0.004242	0.002142	0.002100																																																																																																																																																																																																																																																							
 5-9	0.000715	0.000361	0.000355																																																																																																																																																																																																																																																							
 10-14 	0.000049	0.000025	0.000024																																																																																																																																																																																																																																																							
 15-19 	0.020498	0.012880	0.007618																																																																																																																																																																																																																																																							
 20-24 	0.107014	0.077659	0.029355																																																																																																																																																																																																																																																							
 25-29 	0.156263	0.121579	0.034684																																																																																																																																																																																																																																																							
 30-34 	0.134103	0.108598	0.025506																																																																																																																																																																																																																																																							
 35-39 	0.103836	0.085636	0.018200																																																																																																																																																																																																																																																							
 40-44 	0.071328	0.058873	0.012454																																																																																																																																																																																																																																																							
 45-49 	0.047803	0.039165	0.008639																																																																																																																																																																																																																																																							
 50-54 	0.028847	0.023335	0.005513																																																																																																																																																																																																																																																							
 55-59 	0.016520	0.013166	0.003354																																																																																																																																																																																																																																																							
 60-64 	0.010245	0.008323	0.001922																																																																																																																																																																																																																																																							
 65-69 	0.006445	0.005376	0.001069																																																																																																																																																																																																																																																							
 70-74 	0.004069	0.003210	0.000858																																																																																																																																																																																																																																																							
 75-79 	0.001652	0.001332	0.000321																																																																																																																																																																																																																																																							
 80+ 	0.000215	0.000206	0.000009																																																																																																																																																																																																																																																							
Total	0.713844	0.561864	0.151980																																																																																																																																																																																																																																																							
1981																																																																																																																																																																																																																																																										
 0-4	0.006488	0.003275	0.003212																																																																																																																																																																																																																																																							
 5-9	0.001155	0.000582	0.000573																																																																																																																																																																																																																																																							
 10-14 	0.000069	0.000035	0.000034																																																																																																																																																																																																																																																							
 15-19 	0.025405	0.014666	0.010738																																																																																																																																																																																																																																																							
 20-24 	0.135614	0.093579	0.042035																																																																																																																																																																																																																																																							
 25-29 	0.210573	0.158523	0.052050																																																																																																																																																																																																																																																							
 30-34 	0.185950	0.146845	0.039105																																																																																																																																																																																																																																																							
 35-39 	0.142663	0.115226	0.027437																																																																																																																																																																																																																																																							
 40-44 	0.098346	0.079542	0.018804																																																																																																																																																																																																																																																							
 45-49 	0.065347	0.052390	0.012957																																																																																																																																																																																																																																																							
 50-54 	0.039309	0.031088	0.008220																																																																																																																																																																																																																																																							
 55-59 	0.022475	0.017522	0.004953																																																																																																																																																																																																																																																							
 60-64 	0.013617	0.010772	0.002845																																																																																																																																																																																																																																																							
 65-69 	0.008554	0.006965	0.001589																																																																																																																																																																																																																																																							
 70-74 	0.005376	0.004137	0.001238																																																																																																																																																																																																																																																							
 75-79 	0.002267	0.001772	0.000495																																																																																																																																																																																																																																																							
 80+ 	0.000326	0.000306	0.000020																																																																																																																																																																																																																																																							
Total	0.963534	0.737229	0.226306																																																																																																																																																																																																																																																							
1982																																																																																																																																																																																																																																																										
 0-4	0.010067	0.005083	0.004983																																																																																																																																																																																																																																																							
 5-9	0.002033	0.001024	0.001008																																																																																																																																																																																																																																																							
 10-14 	0.000185	0.000093	0.000092																																																																																																																																																																																																																																																							
 15-19 	0.035169	0.018406	0.016763																																																																																																																																																																																																																																																							
 20-24 	0.179987	0.116314	0.063673																																																																																																																																																																																																																																																							
 25-29 	0.284721	0.204830	0.079891																																																																																																																																																																																																																																																							
 30-34 	0.257714	0.196559	0.061155																																																																																																																																																																																																																																																							
 35-39 	0.194923	0.152798	0.042125																																																																																																																																																																																																																																																							
 40-44 	0.134553	0.105641	0.028913																																																																																																																																																																																																																																																							
 45-49 	0.088423	0.068642	0.019781																																																																																																																																																																																																																																																							
 50-54 	0.052942	0.040437	0.012505																																																																																																																																																																																																																																																							
 55-59 	0.030307	0.022867	0.007439																																																																																																																																																																																																																																																							
 60-64 	0.017994	0.013733	0.004261																																																																																																																																																																																																																																																							
 65-69 	0.011335	0.008915	0.002420																																																																																																																																																																																																																																																							
 70-74 	0.007099	0.005252	0.001847																																																																																																																																																																																																																																																							
 75-79 	0.003034	0.002292	0.000742																																																																																																																																																																																																																																																							
 80+ 	0.000455	0.000417	0.000038																																																																																																																																																																																																																																																							
Total	1.310940	0.963305	0.347635																																																																																																																																																																																																																																																							
1983																																																																																																																																																																																																																																																										
 0-4	0.017003	0.008589	0.008414																																																																																																																																																																																																																																																							
 5-9	0.003554	0.001791	0.001763																																																																																																																																																																																																																																																							
 10-14 	0.000424	0.000213	0.000211																																																																																																																																																																																																																																																							
 15-19 	0.059706	0.028416	0.031289																																																																																																																																																																																																																																																							
 20-24 	0.271893	0.162579	0.109315																																																																																																																																																																																																																																																							
 25-29 	0.413723	0.280113	0.133610																																																																																																																																																																																																																																																							
 30-34 	0.378114	0.274836	0.103278																																																																																																																																																																																																																																																							
 35-39 	0.281268	0.211277	0.069991																																																																																																																																																																																																																																																							
 40-44 	0.193665	0.145616	0.048049																																																																																																																																																																																																																																																							
 45-49 	0.125995	0.093274	0.032721																																																																																																																																																																																																																																																							
 50-54 	0.075309	0.054626	0.020682																																																																																																																																																																																																																																																							
 55-59 	0.043244	0.031111	0.012133																																																																																																																																																																																																																																																							
 60-64 	0.025354	0.018460	0.006894																																																																																																																																																																																																																																																							
 65-69 	0.016071	0.012059	0.004012																																																																																																																																																																																																																																																							
 70-74 	0.010116	0.007055	0.003061																																																																																																																																																																																																																																																							
 75-79 	0.004226	0.003070	0.001156																																																																																																																																																																																																																																																							
 80+ 	0.000603	0.000543	0.000059																																																																																																																																																																																																																																																							
Total	1.920267	1.333630	0.586637																																																																																																																																																																																																																																																							
1984																																																																																																																																																																																																																																																										
 0-4	0.033265	0.016810	0.016454																																																																																																																																																																																																																																																							
 5-9	0.006297	0.003175	0.003123																																																																																																																																																																																																																																																							
 10-14 	0.000759	0.000381	0.000377																																																																																																																																																																																																																																																							
 15-19 	0.125864	0.055025	0.070839																																																																																																																																																																																																																																																							
 20-24 	0.500486	0.275656	0.224830																																																																																																																																																																																																																																																							
 25-29 	0.700724	0.440249	0.260476																																																																																																																																																																																																																																																							
 30-34 	0.631142	0.430412	0.200731																																																																																																																																																																																																																																																							
 35-39 	0.460845	0.326536	0.134309																																																																																																																																																																																																																																																							
 40-44 	0.315269	0.223241	0.092028																																																																																																																																																																																																																																																							
 45-49 	0.203760	0.141132	0.062627																																																																																																																																																																																																																																																							
 50-54 	0.122308	0.082595	0.039713																																																																																																																																																																																																																																																							
 55-59 	0.070647	0.047629	0.023018																																																																																																																																																																																																																																																							
 60-64 	0.041265	0.028339	0.012926																																																																																																																																																																																																																																																							
 65-69 	0.026415	0.018678	0.007737																																																																																																																																																																																																																																																							
 70-74 	0.016887	0.010897	0.005989																																																																																																																																																																																																																																																							
 75-79 	0.006639	0.004620	0.002019																																																																																																																																																																																																																																																							
 80+ 	0.000811	0.000725	0.000087																																																																																																																																																																																																																																																							
Total	3.263384	2.106101	1.157283																																																																																																																																																																																																																																																							
1985																																																																																																																																																																																																																																																										
 0-4	0.074984	0.037906	0.037079																																																																																																																																																																																																																																																							
 5-9	0.012124	0.006115	0.006009																																																																																																																																																																																																																																																							
 10-14 	0.001149	0.000578	0.000571																																																																																																																																																																																																																																																							
 15-19 	0.307524	0.125298	0.182227																																																																																																																																																																																																																																																							
 20-24 	1.109160	0.568616	0.540544																																																																																																																																																																																																																																																							
 25-29 	1.426385	0.831492	0.594893																																																																																																																																																																																																																																																							
 30-34 	1.249273	0.794410	0.454864																																																																																																																																																																																																																																																							
 35-39 	0.896783	0.594645	0.302139																																																																																																																																																																																																																																																							
 40-44 	0.607409	0.401554	0.205855																																																																																																																																																																																																																																																							
 45-49 	0.392102	0.251498	0.140603																																																																																																																																																																																																																																																							
 50-54 	0.237137	0.147597	0.089541																																																																																																																																																																																																																																																							
 55-59 	0.138164	0.086609	0.051556																																																																																																																																																																																																																																																							
 60-64 	0.080818	0.052248	0.028570																																																																																																																																																																																																																																																							
 65-69 	0.052223	0.034726	0.017498																																																																																																																																																																																																																																																							
 70-74 	0.034155	0.020327	0.013827																																																																																																																																																																																																																																																							
 75-79 	0.012437	0.008296	0.004141																																																																																																																																																																																																																																																							
 80+ 	0.001196	0.001068	0.000128																																																																																																																																																																																																																																																							
Total	6.633025	3.962982	2.670044																																																																																																																																																																																																																																																							
1986																																																																																																																																																																																																																																																										
 0-4	0.186347	0.094219	0.092128																																																																																																																																																																																																																																																							
 5-9	0.025768	0.013002	0.012766																																																																																																																																																																																																																																																							
 10-14 	0.001884	0.000947	0.000936																																																																																																																																																																																																																																																							
 15-19 	0.802964	0.308575	0.494390																																																																																																																																																																																																																																																							
 20-24 	2.751005	1.332008	1.418998																																																																																																																																																																																																																																																							
 25-29 	3.336336	1.828343	1.507993																																																																																																																																																																																																																																																							
 30-34 	2.854570	1.706294	1.148276																																																																																																																																																																																																																																																							
 35-39 	2.032388	1.269012	0.763376																																																																																																																																																																																																																																																							
 40-44 	1.356919	0.843102	0.513817																																																																																																																																																																																																																																																							
 45-49 	0.880228	0.526697	0.353532																																																																																																																																																																																																																																																							
 50-54 	0.534695	0.309083	0.225612																																																																																																																																																																																																																																																							
 55-59 	0.314455	0.184512	0.129943																																																																																																																																																																																																																																																							
 60-64 	0.184588	0.113477	0.071111																																																																																																																																																																																																																																																							
 65-69 	0.119436	0.075407	0.044028																																																																																																																																																																																																																																																							
 70-74 	0.080279	0.044642	0.035637																																																																																																																																																																																																																																																							
 75-79 	0.027362	0.017606	0.009756																																																																																																																																																																																																																																																							
