Incidence per 1000 by age and sex			
	south_africa_test		
Total	12.728500	11.365775	14.062280
2007			
 0-4	11.839340	11.909435	11.768203
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	9.792397	5.796120	13.857428
 20-24 	25.072966	18.802909	31.894109
 25-29 	28.071817	23.988852	32.864839
 30-34 	25.612196	23.813677	27.796081
 35-39 	21.309900	20.514291	22.217683
 40-44 	16.904408	16.034307	17.775461
 45-49 	13.032919	11.734495	14.143470
 50-54 	9.806553	8.521591	10.820159
 55-59 	7.268501	6.693654	7.701003
 60-64 	5.686443	6.121884	5.377848
 65-69 	5.278402	6.248891	4.650967
 70-74 	5.733612	6.051980	5.544321
 75-79 	2.233392	4.028625	1.279833
 80+ 	0.000000	0.000000	0.000000
Total	12.350763	11.045550	13.626720
2008			
 0-4	11.677302	11.747117	11.606457
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	9.535920	5.640501	13.497807
 20-24 	24.450202	18.328601	31.075541
 25-29 	27.341823	23.355694	31.991629
 30-34 	24.943749	23.186115	27.079574
 35-39 	20.752845	19.980688	21.646238
 40-44 	16.460277	15.618438	17.318563
 45-49 	12.683965	11.427696	13.771976
 50-54 	9.550809	8.297194	10.535967
 55-59 	7.080231	6.518782	7.500150
 60-64 	5.536723	5.962434	5.238079
 65-69 	5.137659	6.086059	4.530834
 70-74 	5.581069	5.893054	5.398672
 75-79 	2.170269	3.925707	1.248673
 80+ 	0.000000	0.000000	0.000000
Total	12.080304	10.818490	13.313019
2009			
 0-4	5.789526	5.821347	5.757232
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	9.386274	5.547964	13.293042
 20-24 	24.108945	18.060308	30.624729
 25-29 	26.928754	22.988674	31.495373
 30-34 	24.563876	22.821176	26.679139
 35-39 	20.437562	19.674148	21.333912
 40-44 	16.202452	15.375527	17.062618
 45-49 	12.479276	11.250985	13.563480
 50-54 	9.400421	8.165271	10.371572
 55-59 	6.970156	6.415514	7.383558
 60-64 	5.451629	5.869630	5.160730
 65-69 	5.056348	5.991363	4.463436
 70-74 	5.494538	5.801744	5.317953
 75-79 	2.128110	3.864222	1.229252
 80+ 	0.000000	0.000000	0.000000
Total	11.261482	10.011117	12.483319
2010			
 0-4	2.860532	2.873360	2.847497
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	9.235126	5.454438	13.088939
 20-24 	23.748530	17.771411	30.164612
 25-29 	26.501942	22.603511	30.993802
 30-34 	24.170589	22.436025	26.269521
 35-39 	20.107862	19.343965	21.019179
 40-44 	15.930360	15.111560	16.801366
 45-49 	12.265157	11.066510	13.355820
 50-54 	9.239262	8.025955	10.202325
 55-59 	6.855464	6.306474	7.264965
 60-64 	5.365760	5.772095	5.083952
 65-69 	4.973993	5.891966	4.396340
 70-74 	5.408712	5.707828	5.239726
 75-79 	2.083007	3.797718	1.210200
 80+ 	0.000000	0.000000	0.000000
Total	10.779064	9.547232	11.985363
2011			
 0-4	2.826795	2.839389	2.813992
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.878332	5.248136	12.583935
 20-24 	22.837341	17.091314	28.985492
 25-29 	25.474524	21.729808	29.761967
 30-34 	23.230480	21.564307	25.237486
 35-39 	19.328814	18.598890	20.207889
 40-44 	15.302271	14.529535	16.145395
 45-49 	11.778191	10.646450	12.841134
 50-54 	8.868806	7.716032	9.797044
 55-59 	6.587617	6.063363	6.979235
 60-64 	5.160508	5.551565	4.889845
 65-69 	4.782345	5.667199	4.228916
 70-74 	5.203477	5.493126	5.042287
 75-79 	1.989094	3.649124	1.161510
 80+ 	0.000000	0.000000	0.000000
Total	10.391159	9.224024	11.536363
2012			
 0-4	2.738523	2.750464	2.726377
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.229352	4.867183	11.664676
 20-24 	21.166706	15.840580	26.850707
 25-29 	23.611423	20.140139	27.559879
 30-34 	21.527826	19.981351	23.379835
 35-39 	17.920842	17.243553	18.742093
 40-44 	14.182428	13.475592	14.972555
 45-49 	10.912430	9.879168	11.914277
 50-54 	8.212586	7.156345	9.079858
 55-59 	6.108401	5.623816	6.471230
 60-64 	4.788310	5.150456	4.537757
 65-69 	4.437051	5.258069	3.925998
 70-74 	4.830548	5.099086	4.682877
 75-79 	1.832198	3.382969	1.076604
 80+ 	0.000000	0.000000	0.000000
Total	9.664047	8.596312	10.713757
2013			
 0-4	1.837738	1.845070	1.830277
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	7.551017	4.466777	10.703347
 20-24 	19.442239	14.551080	24.650847
 25-29 	21.694402	18.505783	25.296474
 30-34 	19.775270	18.354197	21.465680
 35-39 	16.472438	15.849524	17.230192
 40-44 	13.035083	12.393739	13.767811
 45-49 	10.023458	9.088268	10.958444
 50-54 	7.538885	6.581547	8.344323
 55-59 	5.614732	5.171645	5.947698
 60-64 	4.403742	4.737245	4.172814
 65-69 	4.080971	4.836420	3.612511
 70-74 	4.444329	4.691466	4.309614
 75-79 	1.675725	3.112045	0.991532
 80+ 	0.000000	0.000000	0.000000
Total	8.820411	7.849176	9.776973
2014			
 0-4	1.432469	1.438301	1.426532
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	7.196310	4.254740	10.202921
 20-24 	18.584016	13.907360	23.556974
 25-29 	20.742312	17.690729	24.166417
 30-34 	18.900403	17.539862	20.507251
 35-39 	15.751660	15.153799	16.478947
 40-44 	12.464885	11.856767	13.173382
 45-49 	9.575356	8.692604	10.483267
 50-54 	7.197372	6.295152	7.978167
 55-59 	5.365420	4.944945	5.683363
 60-64 	4.210787	4.530410	3.989115
 65-69 	3.902664	4.625289	3.455771
 70-74 	4.249890	4.486682	4.121678
 75-79 	1.597825	2.980528	0.952567
 80+ 	0.000000	0.000000	0.000000
Total	8.410590	7.489622	9.319233
2015			
 0-4	1.289762	1.294795	1.284636
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	6.831182	4.035752	9.687435
 20-24 	17.709750	13.254674	22.441304
 25-29 	19.767798	16.857713	23.012055
 30-34 	18.005979	16.708617	19.526781
 35-39 	15.012614	14.441131	15.705860
 40-44 	11.878718	11.301586	12.563388
 45-49 	9.115581	8.282445	9.993183
 50-54 	6.849887	6.003083	7.605604
 55-59 	5.109048	4.713183	5.411412
 60-64 	4.013261	4.319024	3.800755
 65-69 	3.719999	4.409361	3.294306
 70-74 	4.048809	4.276295	3.926299
 75-79 	1.522738	2.849121	0.914306
 80+ 	0.000000	0.000000	0.000000
Total	8.022154	7.150145	8.883902
2016			
 0-4	1.274104	1.278880	1.269239
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.624462	3.321004	7.975065
 20-24 	14.614390	10.945791	18.501809
 25-29 	16.308597	13.910569	18.964553
 30-34 	14.853569	13.784250	16.097075
 35-39 	12.392260	11.919693	12.962629
 40-44 	9.811294	9.336924	10.379853
 45-49 	7.522344	6.844822	8.254897
 50-54 	5.653604	4.964775	6.288191
 55-59 	4.218602	3.896388	4.468346
 60-64 	3.317977	3.571384	3.141397
 65-69 	3.075774	3.645891	2.723754
 70-74 	3.344539	3.534629	3.242599
 75-79 	1.260947	2.363722	0.761778
 80+ 	0.000000	0.000000	0.000000
Total	6.665733	5.948775	7.375227
2017			
 0-4	1.239311	1.243763	1.234773
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.265070	3.106410	7.465374
 20-24 	13.704569	10.264607	17.340683
 25-29 	15.294460	13.042990	17.773731
 30-34 	13.925712	12.922307	15.083014
 35-39 	11.619498	11.175430	12.152026
 40-44 	9.204511	8.760709	9.739923
 45-49 	7.050137	6.423584	7.744031
 50-54 	5.296710	4.660236	5.902000
 55-59 	3.952632	3.655424	4.187602
 60-64 	3.112489	3.350825	2.945887
 65-69 	2.885659	3.420642	2.554923
 70-74 	3.134550	3.314990	3.038100
 75-79 	1.184479	2.223524	0.718663
 80+ 	0.000000	0.000000	0.000000
Total	6.277961	5.604374	6.945415
2018			
 0-4	1.202394	1.206527	1.198181
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.189740	3.061048	7.357806
 20-24 	13.500690	10.109264	17.076870
 25-29 	15.074977	12.852607	17.510614
 30-34 	13.721360	12.731888	14.853211
 35-39 	11.447712	11.009738	11.969150
 40-44 	9.074177	8.637441	9.602688
 45-49 	6.944937	6.335256	7.634977
 50-54 	5.213534	4.595379	5.819746
 55-59 	3.890665	3.602879	4.123880
 60-64 	3.066905	3.302529	2.901462
 65-69 	2.844319	3.371408	2.517707
 70-74 	3.086713	3.266430	2.990866
 75-79 	1.166401	2.194156	0.708744
 80+ 	0.000000	0.000000	0.000000
Total	6.208218	5.541119	6.870136
2019			
 0-4	1.164229	1.168047	1.160334
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.136594	3.031069	7.280009
 20-24 	13.314847	9.966659	16.837523
 25-29 	14.880493	12.685224	17.277160
 30-34 	13.540530	12.563907	14.648724
 35-39 	11.294855	10.862663	11.805509
 40-44 	8.959082	8.528232	9.480430
 45-49 	6.853608	6.258161	7.540857
 50-54 	5.139267	4.537331	5.746611
 55-59 	3.836040	3.556883	4.068841
 60-64 	3.026420	3.259919	2.861309
 65-69 	2.808247	3.328116	2.485137
 70-74 	3.045628	3.224338	2.950420
 75-79 	1.146946	2.165128	0.695783
 80+ 	0.000000	0.000000	0.000000
Total	6.150641	5.487534	6.809523
2020			
 0-4	1.125772	1.129288	1.122183
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.131462	3.031236	7.269130
 20-24 	13.225446	9.895212	16.722223
 25-29 	14.795707	12.612135	17.172044
 30-34 	13.460477	12.489151	14.554407
 35-39 	11.225152	10.795267	11.729147
 40-44 	8.908956	8.480050	9.426529
 45-49 	6.811241	6.223281	7.502342
 50-54 	5.101751	4.509627	5.713782
 55-59 	3.810298	3.537148	4.045322
 60-64 	3.008164	3.241159	2.841600
 65-69 	2.793005	3.309224	2.471060
 70-74 	3.028566	3.206539	2.933726
 75-79 	1.133593	2.149360	0.685207
 80+ 	0.000000	0.000000	0.000000
Total	6.139502	5.474179	6.801556
2021			
 0-4	1.088388	1.091620	1.085086
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.165373	3.056063	7.312577
 20-24 	13.231219	9.896698	16.726586
 25-29 	14.815547	12.630399	17.187168
 30-34 	13.477130	12.505547	14.564075
 35-39 	11.235040	10.805598	11.734572
 40-44 	8.920424	8.491040	9.436120
 45-49 	6.819192	6.234257	7.514105
 50-54 	5.099686	4.516464	5.718807
 55-59 	3.812066	3.543001	4.051239
 60-64 	3.011555	3.245667	2.841557
 65-69 	2.797598	3.314048	2.474273
 70-74 	3.033876	3.212003	2.938810
 75-79 	1.127969	2.147807	0.679020
 80+ 	0.000000	0.000000	0.000000
Total	6.172431	5.500259	6.842327
2022			
 0-4	1.052955	1.055924	1.049921
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.192040	3.075329	7.347312
 20-24 	13.238044	9.897924	16.735065
 25-29 	14.829771	12.640157	17.200385
 30-34 	13.489967	12.515294	14.574268
 35-39 	11.240506	10.809239	11.738180
 40-44 	8.926795	8.495074	9.442153
 45-49 	6.826215	6.241994	7.525166
 50-54 	5.098071	4.521824	5.725054
 55-59 	3.813018	3.546804	4.057504
 60-64 	3.014732	3.248196	2.841638
 65-69 	2.801173	3.316763	2.476975
 70-74 	3.037550	3.215086	2.942535
 75-79 	1.122830	2.145165	0.673605
 80+ 	0.000000	0.000000	0.000000
Total	6.203520	5.523276	6.882529
2023			
 0-4	1.019720	1.022445	1.016935
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.203942	3.083843	7.363431
 20-24 	13.248915	9.903555	16.748858
 25-29 	14.839250	12.643060	17.211503
 30-34 	13.498950	12.520150	14.582909
 35-39 	11.242043	10.808037	11.738897
 40-44 	8.928931	8.494094	9.444457
 45-49 	6.832039	6.247022	7.534428
 50-54 	5.097196	4.526197	5.732527
 55-59 	3.813016	3.548974	4.063276
 60-64 	3.017916	3.249278	2.841911
 65-69 	2.803926	3.317949	2.478879
 70-74 	3.038792	3.215999	2.943597
 75-79 	1.120238	2.143490	0.670989
 80+ 	0.000000	0.000000	0.000000
Total	6.231765	5.543303	6.920078
2024			
 0-4	0.988364	0.990862	0.985810
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.189549	3.073684	7.345910
 20-24 	13.265158	9.915537	16.768293
 25-29 	14.845077	12.641061	17.220885
 30-34 	13.503595	12.520849	14.587975
 35-39 	11.240613	10.803607	11.737020
 40-44 	8.927998	8.489689	9.443875
 45-49 	6.836259	6.249334	7.541197
 50-54 	5.096709	4.529298	5.740918
 55-59 	3.811780	3.549528	4.067702
 60-64 	3.021246	3.249361	2.842501
 65-69 	2.806527	3.318115	2.480356
 70-74 	3.038159	3.215288	2.942598
 75-79 	1.121458	2.143929	0.672389
 80+ 	0.000000	0.000000	0.000000
Total	6.257610	5.560833	6.955373
2025			
 0-4	0.958987	0.961275	0.956647
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.174038	3.060688	7.329176
 20-24 	13.300788	9.943197	16.812294
 25-29 	14.866015	12.650092	17.250376
 30-34 	13.520476	12.532213	14.607689
 35-39 	11.251055	10.809791	11.748659
 40-44 	8.935507	8.492418	9.453127
 45-49 	6.846650	6.255867	7.554564
 50-54 	5.100422	4.534187	5.755475
 55-59 	3.813282	3.551943	4.074698
 60-64 	3.028301	3.252380	2.846993
 65-69 	2.812980	3.321289	2.484996
 70-74 	3.040100	3.217120	2.944162
 75-79 	1.126451	2.148452	0.676859
 80+ 	0.000000	0.000000	0.000000
Total	6.287500	5.581542	6.995616
2026			
 0-4	0.932891	0.934988	0.930745
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.170604	3.054907	7.329501
 20-24 	13.341789	9.974459	16.864624
 25-29 	14.892248	12.662535	17.287896
 30-34 	13.541581	12.546224	14.633820
 35-39 	11.266997	10.820243	11.767548
 40-44 	8.946017	8.496922	9.466685
 45-49 	6.858396	6.262290	7.569569
 50-54 	5.107779	4.540914	5.770926
 55-59 	3.815583	3.556357	4.082049
 60-64 	3.036970	3.256200	2.853574
 65-69 	2.821613	3.325247	2.491195
 70-74 	3.042865	3.219608	2.946608
 75-79 	1.131515	2.153841	0.680507
 80+ 	0.000000	0.000000	0.000000
Total	6.317157	5.601778	7.035914
2027			
 0-4	0.910599	0.912524	0.908629
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.181486	3.059598	7.348284
 20-24 	13.377718	9.999847	16.913136
 25-29 	14.918553	12.675503	17.326116
 30-34 	13.564256	12.560033	14.663699
 35-39 	11.285612	10.832360	11.790699
 40-44 	8.957076	8.501047	9.481728
 45-49 	6.869365	6.266977	7.583927
 50-54 	5.116949	4.547824	5.787757
 55-59 	3.819593	3.561186	4.092010
 60-64 	3.046045	3.259858	2.861110
 65-69 	2.831344	3.328976	2.497660
 70-74 	3.046252	3.222210	2.949900
 75-79 	1.134776	2.157680	0.681695
 80+ 	0.000000	0.000000	0.000000
Total	6.344737	5.620100	7.074013
2028			
 0-4	0.891619	0.893389	0.889808
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.203195	3.073183	7.379985
 20-24 	13.403165	10.014300	16.952021
 25-29 	14.943569	12.688994	17.362215
 30-34 	13.588773	12.573848	14.697588
 35-39 	11.305262	10.844830	11.816135
 40-44 	8.967982	8.504427	9.497194
 45-49 	6.879344	6.270081	7.597368
 50-54 	5.127107	4.554375	5.804900
 55-59 	3.825051	3.566058	4.104438
 60-64 	3.055011	3.263200	2.869038
 65-69 	2.841708	3.332331	2.503816
 70-74 	3.050211	3.224817	2.953949
 75-79 	1.135799	2.159010	0.680354
 80+ 	0.000000	0.000000	0.000000
Total	6.370183	5.636587	7.109717
2029			
 0-4	0.873725	0.875350	0.872060
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.215264	3.078771	7.400146
 20-24 	13.408797	10.008973	16.971677
 25-29 	14.967585	12.703513	17.396013
 30-34 	13.615190	12.588029	14.735314
 35-39 	11.324188	10.856035	11.841846
 40-44 	8.978918	8.507457	9.513124
 45-49 	6.888775	6.272155	7.610454
 50-54 	5.137570	4.560127	5.821524
 55-59 	3.831556	3.570693	4.118874
 60-64 	3.063483	3.266288	2.876824
 65-69 	2.852539	3.335434	2.509639
 70-74 	3.054130	3.227263	2.957781
 75-79 	1.134925	2.158189	0.677000
 80+ 	0.000000	0.000000	0.000000
Total	6.393685	5.651446	7.143192
2030			
 0-4	0.855918	0.857407	0.854391
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.222619	3.080429	7.414821
 20-24 	13.412824	10.001174	16.990931
 25-29 	14.987499	12.716116	17.424256
 30-34 	13.639782	12.599761	14.772181
 35-39 	11.339339	10.863230	11.864342
 40-44 	8.988635	8.509332	9.527931
 45-49 	6.896428	6.272234	7.621795
 50-54 	5.146586	4.563812	5.835579
 55-59 	3.836841	3.573545	4.132499
 60-64 	3.070189	3.268446	2.883032
 65-69 	2.863030	3.337679	2.514646
 70-74 	3.056623	3.228735	2.959571
 75-79 	1.133031	2.155770	0.672752
 80+ 	0.000000	0.000000	0.000000
Total	6.414006	5.663694	7.172940
2031			
 0-4	0.839660	0.841024	0.838261
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.231608	3.083700	7.431347
 20-24 	13.424881	10.001118	17.018638
 25-29 	15.002150	12.724586	17.446793
 30-34 	13.659673	12.607153	14.804265
 35-39 	11.350293	10.866110	11.882965
 40-44 	8.996961	8.510178	9.541299
 45-49 	6.901821	6.269970	7.630790
 50-54 	5.153224	4.564890	5.846073
 55-59 	3.841371	3.575524	4.143423
 60-64 	3.075847	3.269760	2.887599
 65-69 	2.872615	3.338773	2.518515
 70-74 	3.057762	3.229158	2.959370
 75-79 	1.131359	2.152577	0.669006
 80+ 	0.000000	0.000000	0.000000
Total	6.430684	5.673037	7.198320
2032			
 0-4	0.825723	0.826972	0.824442
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.240644	3.087361	7.447579
 20-24 	13.440752	10.006217	17.049169
 25-29 	15.012577	12.728028	17.466280
 30-34 	13.673352	12.609633	14.829236
 35-39 	11.359105	10.866616	11.899801
 40-44 	9.004703	8.510841	9.554130
 45-49 	6.905390	6.265840	7.637838
 50-54 	5.157556	4.563637	5.853299
 55-59 	3.845590	3.576590	4.153710
 60-64 	3.081099	3.270109	2.892780
 65-69 	2.881166	3.338823	2.521376
 70-74 	3.058796	3.228914	2.958858
 75-79 	1.130631	2.149749	0.666187
 80+ 	0.000000	0.000000	0.000000
Total	6.443838	5.679639	7.219395
2033			
 0-4	0.814760	0.815904	0.813587
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.245687	3.088053	7.458728
 20-24 	13.454676	10.011378	17.075822
 25-29 	15.020304	12.726485	17.485846
 30-34 	13.680642	12.607390	14.846516
 35-39 	11.368003	10.866847	11.917185
 40-44 	9.011665	8.510927	9.566488
 45-49 	6.907544	6.260276	7.643388
 50-54 	5.160137	4.560647	5.858153
 55-59 	3.849466	3.576822	4.163205
 60-64 	3.085991	3.269607	2.898650
 65-69 	2.888744	3.338087	2.523565
 70-74 	3.060617	3.228302	2.959316
 75-79 	1.129856	2.147193	0.662517
 80+ 	0.000000	0.000000	0.000000
Total	6.453852	5.683867	7.236560
2034			
 0-4	0.804967	0.806012	0.803896
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.248438	3.087038	7.466962
 20-24 	13.461695	10.009175	17.095642
 25-29 	15.026304	12.718660	17.509120
 30-34 	13.681745	12.600657	14.856166
 35-39 	11.377117	10.867017	11.935209
 40-44 	9.016269	8.508588	9.577011
 45-49 	6.908484	6.253614	7.647646
 50-54 	5.161372	4.556330	5.861291
 55-59 	3.852611	3.576094	4.171259
 60-64 	3.090388	3.268376	2.904835
 65-69 	2.895312	3.336770	2.525336
 70-74 	3.063310	3.227367	2.961000
 75-79 	1.128120	2.144122	0.656445
 80+ 	0.000000	0.000000	0.000000
Total	6.460810	5.685799	7.249896
2035			
 0-4	0.795791	0.796740	0.794817
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.250331	3.085450	7.474026
 20-24 	13.466425	10.004495	17.113400
 25-29 	15.030810	12.709040	17.531465
 30-34 	13.677877	12.590261	14.859832
 35-39 	11.385737	10.866575	11.953000
 40-44 	9.018145	8.503398	9.585278
 45-49 	6.908887	6.246750	7.651281
 50-54 	5.161567	4.550975	5.863190
 55-59 	3.854699	3.574348	4.177345
 60-64 	3.094049	3.266666	2.910468
 65-69 	2.900714	3.335118	2.527022
 70-74 	3.066604	3.226116	2.963663
 75-79 	1.126062	2.140209	0.648432
 80+ 	0.000000	0.000000	0.000000
Total	6.464974	5.685659	7.259690
2036			
 0-4	0.787469	0.788327	0.786587
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.251556	3.083463	7.480115
 20-24 	13.471334	10.000698	17.130912
 25-29 	15.033671	12.700483	17.549281
 30-34 	13.671800	12.578131	14.861152
 35-39 	11.392773	10.864765	11.969125
 40-44 	9.018507	8.496723	9.592217
 45-49 	6.909721	6.240860	7.655282
 50-54 	5.161177	4.545038	5.864353
 55-59 	3.855713	3.571787	4.181368
 60-64 	3.096349	3.264658	2.915115
 65-69 	2.906593	3.332996	2.529043
 70-74 	3.070603	3.224782	2.967515
 75-79 	1.125902	2.136421	0.640809
 80+ 	0.000000	0.000000	0.000000
Total	6.466836	5.683909	7.266456
2037			
 0-4	0.779829	0.780601	0.779036
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.251975	3.080966	7.485056
 20-24 	13.475677	9.996943	17.147218
 25-29 	15.035162	12.693337	17.562956
 30-34 	13.667053	12.566769	14.864580
 35-39 	11.397015	10.860814	11.981999
 40-44 	9.019693	8.491131	9.599809
 45-49 	6.911962	6.237008	7.660708
 50-54 	5.160788	4.539139	5.865341
 55-59 	3.855951	3.568811	4.183724
 60-64 	3.098355	3.262649	2.919884
 65-69 	2.912112	3.330759	2.531328
 70-74 	3.075228	3.223597	2.972450
 75-79 	1.129271	2.133733	0.635227
 80+ 	0.000000	0.000000	0.000000
Total	6.466977	5.681104	7.270796
2038			
 0-4	0.772304	0.772993	0.771596
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.252078	3.078359	7.489436
 20-24 	13.478535	9.991958	17.161671
 25-29 	15.035734	12.687015	17.573904
 30-34 	13.666008	12.557930	14.873179
 35-39 	11.397535	10.854025	11.990430
 40-44 	9.023344	8.488497	9.609411
 45-49 	6.915127	6.234654	7.667185
 50-54 	5.160495	4.533503	5.866162
 55-59 	3.855717	3.565726	4.184901
 60-64 	3.100074	3.260790	2.924566
 65-69 	2.916803	3.328604	2.532895
 70-74 	3.080112	3.222578	2.977985
 75-79 	1.136480	2.132370	0.632150
 80+ 	0.000000	0.000000	0.000000
Total	6.465731	5.677586	7.273021
2039			
 0-4	0.765461	0.766069	0.764836
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.252468	3.076101	7.494002
 20-24 	13.481642	9.987472	17.176057
 25-29 	15.038125	12.681310	17.587716
 30-34 	13.672647	12.554185	14.892602
 35-39 	11.394637	10.844750	11.994628
 40-44 	9.029715	8.489163	9.621242
 45-49 	6.918007	6.232392	7.673601
 50-54 	5.160528	4.528504	5.867046
 55-59 	3.855422	3.562883	4.185507
 60-64 	3.101505	3.259285	2.928846
 65-69 	2.920657	3.326855	2.533395
 70-74 	3.084817	3.221602	2.983602
 75-79 	1.147247	2.132242	0.631708
 80+ 	0.000000	0.000000	0.000000
Total	6.463691	5.673942	7.273725
2040			
 0-4	0.759713	0.760243	0.759168
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.253858	3.074682	7.499697
 20-24 	13.486804	9.985156	17.192317
 25-29 	15.043360	12.678442	17.604412
 30-34 	13.682780	12.554322	14.915221
 35-39 	11.390469	10.835047	11.996838
 40-44 	9.038749	8.493028	9.635302
 45-49 	6.920794	6.230331	7.680072
 50-54 	5.161763	4.525096	5.869013
 55-59 	3.855583	3.560726	4.186219
 60-64 	3.102857	3.258487	2.932665
 65-69 	2.924639	3.326017	2.533979
 70-74 	3.088677	3.220390	2.988554
 75-79 	1.161008	2.133317	0.633763
 80+ 	0.000000	0.000000	0.000000
Total	6.461688	5.670952	7.273779
2041			
 0-4	0.754322	0.754778	0.753853
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.256629	3.074360	7.507031
 20-24 	13.494373	9.985293	17.210882
 25-29 	15.051360	12.679318	17.623002
 30-34 	13.692631	12.556415	14.935105
 35-39 	11.387793	10.827435	12.000078
 40-44 	9.049198	8.498785	9.650425
 45-49 	6.924387	6.229402	7.687301
 50-54 	5.164848	4.523956	5.872914
 55-59 	3.856467	3.559457	4.187403
 60-64 	3.104256	3.258539	2.936010
 65-69 	2.928173	3.326017	2.535797
 70-74 	3.092318	3.220321	2.992064
 75-79 	1.177135	2.135665	0.637987
 80+ 	0.000000	0.000000	0.000000
Total	6.460031	5.668880	7.273527
2042			
 0-4	0.749183	0.749574	0.748781
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.260778	3.075146	7.515983
 20-24 	13.503892	9.987444	17.231250
 25-29 	15.061914	12.683273	17.643558
 30-34 	13.701437	12.559524	14.951775
 35-39 	11.389212	10.824220	12.007171
 40-44 	9.058935	8.504275	9.664608
 45-49 	6.930082	6.230954	7.696377
 50-54 	5.170027	4.525271	5.879220
 55-59 	3.858123	3.559081	4.189162
 60-64 	3.105739	3.259366	2.938908
 65-69 	2.931462	3.326798	2.537804
 70-74 	3.096170	3.221535	2.995197
 75-79 	1.194638	2.138988	0.643679
 80+ 	0.000000	0.000000	0.000000
Total	6.458693	5.667657	7.272975
2043			
 0-4	0.744352	0.744695	0.744000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.265933	3.076822	7.526026
 20-24 	13.514482	9.990968	17.252306
 25-29 	15.074125	12.688897	17.665690
 30-34 	13.709291	12.562912	14.966158
 35-39 	11.395951	10.826462	12.019534
 40-44 	9.065943	8.507368	9.675952
 45-49 	6.938439	6.235623	7.707736
 50-54 	5.176302	4.528041	5.886965
 55-59 	3.860162	3.559272	4.191066
 60-64 	3.107196	3.260685	2.941354
 65-69 	2.934334	3.328087	2.539851
 70-74 	3.101743	3.223994	3.000714
 75-79 	1.212285	2.142580	0.649970
 80+ 	0.000000	0.000000	0.000000
Total	6.457277	5.666871	7.271731
2044			
